LA,%
E06000047,44.20302913662681
E06000005,51.49354051513869
E06000001,19.979989879937172
E06000002,12.934712953289779
E06000057,21.945080550214946
E06000004,7.0214275798042225
E08000037,5.471398774096626
E08000021,30.48731068680611
E08000022,80.60114242914779
E08000023,43.04466357095561
E08000024,12.891856744732038
E06000008,13.264301203109962
E06000009,61.433633724970235
E06000049,78.15037459661693
E06000050,56.86218679472626
E06000006,8.235069013175767
E06000007,85.95961549863131
E07000031,41.87488541749662
E08000001,16.865341016931655
E08000002,84.74067948578482
E08000003,17.52891156390857
E08000004,25.56605350939965
E08000005,57.56023790132318
E08000006,4.1691001117625115
E08000007,30.716887100078218
E08000008,36.82773984354779
E08000009,36.02220168410816
E08000010,18.823687853826765
E07000118,86.2026071827379
E07000120,15.028956381536565
E07000121,18.81647797829916
E07000122,25.21883325465481
E07000123,25.168733750643824
E07000124,70.58822296725006
E07000126,20.25922106204961
E07000127,46.21083923686244
E07000128,23.330385270347477
E08000012,1.5666822352269831
E08000014,7.419648112464798
E08000013,22.178136176578203
E08000015,71.11600769519912
E06000011,66.09196776688357
E06000010,5.500345809556229
E06000012,13.854615422581873
E06000013,12.00170594886522
E06000014,3.0988651196985564
E07000164,56.10072486520865
E07000165,80.56113979228104
E07000167,30.079962206283493
E07000168,14.66403561566773
E08000016,51.80587599775765
E08000017,77.42964135591129
E08000018,50.27887720266626
E08000019,62.49087355094994
E08000032,52.74654992705907
E08000033,81.10753741136433
E08000034,28.87654547615567
E08000035,98.36472469428192
E08000036,34.59468108513396
E06000015,70.44710535846164
E06000016,1.4911820276127037
E06000018,32.53115715723876
E06000017,59.2264454894477
E07000032,63.21542735235172
E07000034,90.88840954957462
E07000035,77.55130589965718
E07000036,10.141371819672138
E07000037,31.779665736088713
E07000129,40.91209807548218
E07000130,18.03138890931696
E07000131,55.464791730891505
E07000132,34.13030520069476
E07000133,36.34253079478213
E07000134,66.79944548856149
E07000135,24.045957788739813
E07000137,35.65888787871279
E07000139,47.16305833032755
E07000140,41.23624094166658
E07000141,72.77016147558506
E07000142,47.86801894089464
E07000151,9.842607780102073
E07000152,73.39561780692958
E07000153,98.66791972445877
E07000154,34.539596961944625
E07000155,56.490933557632225
E07000156,30.41689254217997
E07000170,55.961357163948875
E07000171,19.211325889982454
E07000172,2.092511648306417
E07000173,73.01144071807991
E07000174,57.65709383346385
E07000175,71.07555879771087
E07000176,88.20579780757228
E06000019,35.06292786994902
E06000051,65.07518046067106
E06000021,35.850373729471116
E06000020,50.50102695810025
E07000192,3.7386681621290387
