LA,%
E06000047,7.64710599169013
E06000005,8.744265224094606
E06000001,2.96823593780404
E06000002,2.032693185598743
E06000057,4.476128814931287
E06000004,1.6133667850340145
E08000037,1.7824339411864516
E08000021,5.654197864124369
E08000022,17.621391555486095
E08000023,8.78289066326864
E08000024,2.998378680494932
E06000008,2.502491376425678
E06000009,11.326038403769777
E06000049,18.86584608032929
E06000050,10.134539439496884
E06000006,1.9999130821182622
E06000007,22.325709330865656
E07000031,6.726588453898387
E08000001,3.155297062292662
E08000002,21.790094959323117
E08000003,3.3211816605629343
E08000004,4.277199268666124
E08000005,9.010307757075726
E08000006,1.5511915240709095
E08000007,5.119816914100174
E08000008,4.973137476784086
E08000009,6.275134819195103
E08000010,3.0464123076520027
E07000118,23.05657334241721
E07000120,2.421709446401975
E07000121,3.454701725216812
E07000122,4.247674083811892
E07000123,4.3956955883795095
E07000124,13.22902309548496
E07000126,4.315672944802399
E07000127,7.440035935345487
E07000128,3.828019539619902
E08000012,0.6395527682069407
E08000014,2.065937997910646
E08000013,3.1346096455856562
E08000015,12.63220932105544
E06000011,10.578179815258757
E06000010,1.3716423188656397
E06000012,2.48091197930834
E06000013,2.3285317181434317
E06000014,1.334849789569764
E07000164,9.058290009566814
E07000165,18.804211101174808
E07000167,4.9178420515190915
E07000168,2.52746832021277
E08000016,7.636365993443711
E08000017,22.28121279456148
E08000018,7.220453339959631
E08000019,11.731344785163078
E08000032,8.028471126333372
E08000033,17.98197753658551
E08000034,4.562141204136967
E08000035,61.557556075822184
E08000036,5.573804666919805
E06000015,17.04544992997841
E06000016,0.7218576766534572
E06000018,6.4677537829348735
E06000017,11.24591500996136
E07000032,10.964696764957838
E07000034,32.77908588148773
E07000035,16.617993003879246
E07000036,3.095020771225039
E07000037,5.027608028190871
E07000129,7.3430811653756995
E07000130,3.5081228390235433
E07000131,10.423081131193612
E07000132,5.627026910965299
E07000133,5.955183919465364
E07000134,12.358857263129758
E07000135,4.081217993987617
E07000137,5.280696692467687
E07000139,7.2961935132401665
E07000140,5.723364576935134
E07000141,13.473506334803947
E07000142,7.40405660047378
E07000151,2.508255092522131
E07000152,13.807083212169507
E07000153,64.04898971804161
E07000154,5.853390413884072
E07000155,12.677817557989043
E07000156,4.717032848035602
E07000170,8.619496227736704
E07000171,3.275956574902427
E07000172,0.8633691721767726
E07000173,14.040823304861833
E07000174,9.000280598691118
E07000175,13.631165914483637
E07000176,24.446743731266395
E06000019,5.9833497293404765
E06000051,11.98786977968758
E06000021,5.677724941946853
E06000020,7.6543991262946225
E07000192,1.6611710277582667
E07000193,17.248865850496287
E07000194,7.655407070264669
E07000196,9.979981993547725
E07000197,3.3091696528701404
E07000198,7.386076463103697
E07000199,11.326267981901966
E07000218,4.4053281454302855
E07000219,4.233400612360202
E07000220,13.754500831502362
E07000221,38.98139398860941
E07000222,8.315035120234805
E08000025,87.75029576115392
E08000026,1.0593002564831648
E08000027,2.9360981716752828
E08000028,3.728185252640389
E08000029,9.570766665161598
E08000030,2.415595779070432
E08000031,1.8820601776287829
E07000234,45.8487052588504
E07000235,19.749684829616225
E07000236,7.430948812721057
E07000237,0.288354247912777
E07000238,1.2149995189071485
E07000239,12.132211281611463
E06000055,65.03894113942391
E06000056,4.0732484068988555
E06000032,5.1461300799098515
