vehicle,capacity,18-1,17-3,17-2,17-1,16-3
Nissan Leaf,24,0,0,0,5535,1394
Nissan Leaf 16,30,5132,6180,6144,0,0
BMW I3,22,0,3342,3318,2917,858
BMW I3,30,3143,0,0,0,0
Tesla Model S,60,2395,2418,2378,2478,634
Tesla Model X,60,0,1705,1116,0,0
Renault Zoe,22,0,0,1320,1494,413
