Department for Transport statistics,,,,,,,,,,
Vehicle Licensing Statistics (),,,,,,,,,,
,,,,,,,,,,
Table VEH0105,,,,,,,,,,
"Licensed vehicles at the end of the year by body type and upper and lower tier local authority 1 , including diesel cars and vans, United Kingdom, 2017",,,,,,,,,,
,,,,,,,,,,     Thousand
,,,,,,,,,Of which:,
ONS LA Code,Region/Local Authority,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses and coaches,Other vehicles 2,Total,Diesel Cars,Diesel Vans
E07000108,      Dover,56.5,2.8,6.1,1,0.2,1.3,67.8,21.5,5.7
E07000109,      Gravesham,50.3,2.4,5.1,0.5,0.2,0.4,58.9,17.9,4.9
E07000110,      Maidstone,90.8,3.9,11.2,1.2,1,2.1,110.3,34.7,10.7
E07000111,      Sevenoaks,68.9,3.3,8.2,0.9,0.2,1.4,82.9,23.8,7.8
E07000112,      Shepway,54.6,2.7,6,0.5,0.2,1.5,65.6,21.1,5.6
E07000113,      Swale,74,3.5,9.2,1.5,0.3,1.4,90,27.6,8.8
E07000114,      Thanet,63.3,3.5,6.4,0.4,0.3,1.1,75,21.5,6
E07000115,      Tonbridge and Malling,72.2,3.2,8.9,2.4,0.2,1.1,88.1,26.1,8.6
E07000116,      Tunbridge Wells,60.6,2.4,5.9,0.4,0.2,1.1,70.5,20.7,5.5
,Local Authority District unknown 3,0.3,0.1,0.1,-,-,0.1,0.6,0.1,0.1
E10000025,   Oxfordshire,372.1,16.2,40,6,1.7,9,445,152.1,37.9
E07000177,      Cherwell,103.2,3.8,10.2,1,0.4,2.3,120.9,49.6,9.7
E07000178,      Oxford,48.4,2,4.4,0.9,0.6,0.8,57.2,17.5,4.2
E07000179,      South Oxfordshire,83.5,3.8,9.4,1.2,0.3,2.3,100.6,31.3,8.9
E07000180,      Vale of White Horse,73.4,3.6,7.8,0.7,0.2,1.7,87.4,28.2,7.5
E07000181,      West Oxfordshire,63.4,3,8.1,2.2,0.2,1.8,78.7,25.4,7.6
,Local Authority District unknown 3,0.2,0.1,-,-,-,-,0.3,-,-
E10000030,   Surrey,672.9,29.2,65.4,5.9,2.1,7.7,783.2,216.5,61.7
E07000207,      Elmbridge,81.9,3.1,8.6,0.4,0.3,0.4,94.7,27.5,8.2
E07000208,      Epsom and Ewell,40.2,1.7,3.1,0.2,0.2,0.4,45.7,11.2,2.9
E07000209,      Guildford,77.3,3.5,7.7,1.3,0.3,0.7,90.8,25.9,7.3
E07000210,      Mole Valley,54.7,2.4,5.8,0.5,0.2,1.2,64.7,16.4,5.4
E07000211,      Reigate and Banstead,81.9,3.4,7.7,0.6,0.2,1.4,95.1,25,7.3
E07000212,      Runnymede,45.7,2.4,5.2,0.6,0.2,0.5,54.6,14.7,4.9
E07000213,      Spelthorne,54.7,2.5,5.5,0.6,0.1,0.3,63.8,16.3,5.2
E07000214,      Surrey Heath,54.9,2.5,4.6,0.4,0.1,0.5,63,18.7,4.4
E07000215,      Tandridge,51.2,2.2,5.7,0.6,0.2,0.9,60.8,16.7,5.4
E07000216,      Waverley,75.1,3.2,7.3,0.5,0.3,1,87.3,26.5,6.7
E07000217,      Woking,55.2,2.3,4.2,0.2,0.1,0.3,62.4,17.7,4
,Local Authority District unknown 3,0.2,0.1,-,-,,-,0.3,-,-
E10000032,   West Sussex,460,21.2,51.2,4.6,2.1,7.6,546.7,150,48.1
E07000223,      Adur,30.9,2,4.5,0.5,0.1,0.3,38.3,9.2,4.2
E07000224,      Arun,86.5,3.9,9.4,0.8,0.2,1.1,101.8,27.1,8.9
E07000225,      Chichester,69.9,3.3,9.5,0.9,0.8,2.3,86.7,25.2,8.8
E07000226,      Crawley,52.5,2,4.3,0.4,0.3,0.5,60,17.5,4.2
E07000227,      Horsham,85.1,3.9,9.9,1.1,0.2,1.7,102,29.2,9.2
E07000228,      Mid Sussex,82.2,3.6,8,0.8,0.2,1.2,96,26.8,7.6
E07000229,      Worthing,52.8,2.5,5.5,0.2,0.2,0.4,61.7,15,5.2
,Local Authority District unknown 3,0.1,0.1,-,-,-,-,0.2,-,-
,Local Authority unknown 3,1,0.4,0.2,-,-,0.2,1.9,0.2,0.1
E12000009,South West,3156.1,152.4,488.3,48.1,19.9,101.2,3965.9,1312.8,467.2
E06000022,   Bath and North East Somerset UA,92.2,4.4,10.7,0.9,0.4,1.7,110.4,33.3,10.2
