NISSAN NISSAN LEAF S,99.999,107,2,3625,8.19,114.7,1,143.4,29.97,0.0713,0.02206
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,114.7,2,177.6,30.08,0.0713,0.02206
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,114.7,1,143.4,30.08,0.0713,0.02206
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,112.5,2,183.9,29.61,0.0738,0.02195
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,112.5,1,146.4,29.61,0.0738,0.02195
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,114.7,2,181.1,30.08,0.0713,0.02206
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,114.7,1,149.7,30.08,0.0713,0.02206
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,112.5,2,195.8,29.61,0.0738,0.02195
NISSAN NISSAN LEAF SL,99.999,107,2,3625,8.19,112.5,1,147.5,29.61,0.0738,0.02195
NISSAN NISSAN LEAF SV,99.999,107,2,3750,8.19,112.5,2,175.4,29.92,0.076,0.02195
NISSAN NISSAN LEAF SV,99.999,107,2,3750,8.19,112.5,1,144.6,29.92,0.076,0.02195
NISSAN NISSAN LEAF UPR,99.999,107,2,3750,7.94,111.1,2,149.1,33.78,0.0618,0.02282
NISSAN NISSAN LEAF UPR,99.999,107,2,3750,7.94,111.1,1,130.6,33.78,0.0618,0.02282
NISSAN NISSAN LEAF UPR,99.999,107,2,3750,7.94,111.1,1,132,33.78,0.0618,0.02282
NISSAN NISSAN LEAF UPR,99.999,107,2,3750,7.94,111.1,2,154,33.78,0.0618,0.02282
SCION iQ EV,0.001,1,2,2750,9.45,0,2,17.1,15.993,0.56499,0.013095
SCION iQ EV,0.001,1,2,2750,9.45,0,1,22.5,15.993,0.56499,0.013095
Tesla Model S 60D,0.001,376,4,5000,9.34,9.7,2,21.1,37.37,0.1842,0.01508
Tesla Model S 60D,0.001,376,4,5000,9.34,9.7,1,20.2,37.37,0.1842,0.01508
Tesla Model S 60R,0.001,376,2,5000,9.34,9.7,2,22.6,40.35,0.1324,0.01557
Tesla Model S 60R,0.001,376,2,5000,9.34,9.7,1,24.6,40.35,0.1324,0.01557
Tesla Model S 70D,0.001,376,4,5000,9.34,9.7,1,24.7,36.23,0.1906,0.01746
Tesla Model S 70D,0.001,376,4,5000,9.34,9.7,2,25.2,36.23,0.1906,0.01746
Tesla Model S 75D,0.001,376,4,5000,9.34,9.7,2,21,37.37,0.1842,0.01508
Tesla Model S 75D,0.001,376,4,5000,9.34,9.7,1,20.5,37.37,0.1842,0.01508
Tesla Model S 75R,0.001,376,2,5000,9.34,9.7,2,22.1,40.35,0.1324,0.01557
Tesla Model S 75R,0.001,376,2,5000,9.34,9.7,1,21.5,40.35,0.1324,0.01557
Tesla Model S 85D,0.001,376,4,5000,9.34,9.7,2,25.6,36.23,0.1906,0.01746
Tesla Model S 85D,0.001,376,4,5000,9.34,9.7,1,23.1,36.23,0.1906,0.01746
Tesla Model S 85D,0.001,376,4,5000,9.34,9.7,2,26.6,36.23,0.1906,0.01746
Tesla Model S 85D,0.001,376,4,5000,9.34,9.7,1,24,36.23,0.1906,0.01746
Tesla Model S 90D,0.001,376,4,5000,9.34,9.7,2,21.8,39.24,0.1493,0.01514
Tesla Model S 90D,0.001,376,4,5000,9.34,9.7,1,20.8,39.24,0.1493,0.01514
Tesla Model S P100D,0.001,376,4,5250,9.34,9.7,2,23.7,41.35,0.267,0.0137
Tesla Model S P100D,0.001,376,4,5250,9.34,9.7,1,21,41.35,0.267,0.0137
Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,2,28.6,41.91,0.1389,0.0185
Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,1,28.6,41.91,0.1389,0.0185
Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,2,26.8,41.91,0.0257,0.01961
Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,1,24.5,41.91,0.0257,0.01961
Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,2,27.8,41.91,0.0257,0.01961
Tesla Model S P85D,0.001,449,4,5250,9.34,9.7,1,25.5,41.91,0.0257,0.01961
Tesla Model S P90D,0.001,376,4,5250,9.34,9.7,2,23.5,41.51,0.2226,0.01403
Tesla Model S P90D,0.001,376,4,5250,9.34,9.7,1,21.7,41.51,0.2226,0.01403
Tesla Model S S3,0.001,362,2,4500,9.73,9.7,1,29.8,43.62,0.1984,0.016085
Tesla Model S S3,0.001,362,2,4500,9.73,9.7,2,30.5,43.62,0.1984,0.016085
Tesla Model X 60D,0.001,417,4,5500,9.34,9.7,2,23.2,37.68,0.0486,0.0214
Tesla Model X 60D,0.001,417,4,5500,9.34,9.7,1,22.6,37.68,0.0486,0.0214
