year,model,rural,urban,motorway
2012,BYD e6,0.4027263545671026,0.44327459223406923,0.5595904227137886
2012,NISSAN NISSAN LEAF UPR,0.2722339341808195,0.31711087412273004,0.3992278421580945
2013,Azure Dynamics Transit Connect Electric,0.4508761786679658,0.5405261884123236,0.6670202842663552
2013,CODA CODA,0.3900101328604016,0.4934901839633702,0.5215478002689713
2013,Toyota SCION iQ EV,0.20474211919130353,0.22841723056633004,0.3003028243332929
2014,HONDA FIT EV,0.23172678255189952,0.2797060994992807,0.3262638094988742
2014,Tesla Model S P85D,0.30288165014990087,0.38458864357042255,0.395528185279333
2014,Toyota RAV4 EV,0.33831617535492015,0.4112296160308568,0.4754577467358153
2015,BYD e6,0.41637800730961655,0.4833231403817497,0.5515587611543651
2015,Fiat 500e,0.23913755471469478,0.29406579302447255,0.3327223355215427
2016,Bluecar Bluecar,0.3770038068012374,0.4514025854977752,0.5444481935551664
2016,BMW I3 BEV,0.21735899482522827,0.24668984848204123,0.3186494240219227
2016,BYD e6,0.3442022204706155,0.36838336734213534,0.4922106656376837
2016,CHEVROLET SPARK EV,0.2316316094693252,0.27836968533147705,0.3375190777351499
2016,Fiat 500e,0.24351358167239337,0.28722888395699914,0.3530810488292447
2016,Ford FOCUS,0.26106097351457186,0.30532134967754365,0.3786716176359262
2016,Kia Soul electric,0.2316706573493371,0.24376357556043643,0.3630780042311967
2016,Mercedes-Benz B-class electric drive,0.3382965727244719,0.44011931106400504,0.4492174928271425
2016,Mercedes-Benz smart fortwo electric drive (convertible),0.250714590259535,0.2618372597947111,0.41394789390539133
2016,MITSUBISHI i-MiEV,0.24764997563749028,0.2883602977663798,0.36054314399044285
2016,NISSAN NISSAN LEAF S,0.2394588462201792,0.27164812687056156,0.35981061771579165
2016,NISSAN NISSAN LEAF SL,0.2346898377277379,0.2647265710601703,0.3539878015701642
2016,NISSAN NISSAN LEAF SV,0.24255008145746876,0.27774521561062937,0.3618631071069198
2016,Tesla Model S 60D,0.20552051964785054,0.23974163720164254,0.28057142328537
2016,Tesla Model S 60R,0.24587607601832445,0.3074081776817915,0.32025520424315357
2016,Tesla Model S 70D,0.25929221828225424,0.3187154292370372,0.3488853988571438
2016,Tesla Model S 75D,0.20754816106170337,0.2432608043558097,0.2825267901615079
2016,Tesla Model S 75R,0.21973900335388885,0.26260711252105734,0.2946774075563433
2016,Tesla Model S 85D,0.2617212616622633,0.32281035038371786,0.35134244706787615
2016,Tesla Model S 90D,0.21347313122819603,0.2541443700341669,0.28680184035634465
2016,Tesla Model S P100D,0.222526977998047,0.2636851724757312,0.2925497018144475
2016,Tesla Model S P85D,0.27728803655781215,0.3471849589165468,0.37015618283547025
2016,Tesla Model S P90D,0.2277844901135427,0.2753398350406894,0.2971186969018022
2016,Tesla Model X 60D,0.23054264770615607,0.2618568115095756,0.33446286054265195
2016,Tesla Model X 75D,0.22873343923585332,0.2587326011130126,0.332672462200778
2016,Tesla Model X 90D,0.24070092592901374,0.279346305212452,0.3445517467204692
2016,Tesla Model X P100D,0.2553273934549346,0.3049336637455103,0.3526908202285845
2016,VOLKSWAGEN e-Golf,0.225545225411588,0.2461808342922777,0.3078066877406991
2018,Ford FOCUS,0.2583542022252452,0.3065197256518762,0.37080161513593163
2018,HYUNDAI IONIQ,0.16812214537993345,0.18799255940249374,0.2530710115623741
2018,KIA Soul Electric,0.228537786480303,0.2447927581872627,0.358476615593485
2019,BMW I3s,0.23877033679838094,0.2714205263909811,0.34639322381638615
2019,CHEVROLET BOLT,0.22390547734189759,0.2511279892906654,0.3320985334729454
2019,HYUNDAI IONIQ,0.16812214537993345,0.18799255940249374,0.2530710115623741
2019,HYUNDAI Kona Electric,0.20405925989774715,0.24107303719371406,0.3154265255196207
2019,Jaguar I-PACE,0.36216936146766715,0.4285631828629145,0.49013018175425194
2019,Kia Niro Electric,0.22127484208332188,0.26278910728520705,0.32844459821060135
2019,KIA Soul Electric,0.228537786480303,0.2447927581872627,0.358476615593485
2019,NISSAN LEAF,0.24028671818873892,0.2694996096600243,0.3570163038274433
2019,VOLKSWAGEN e-Golf,0.22834000340298446,0.25530365753267853,0.3229614640983718
